Companies,URL,Description,Industry,Latest Funding Round,Latest Funding Date,Total Funding,All Investors,Latest Valuation,Latest Funding Amount,Exit Round,Exit Date,Acquirers,Mosaic (Overall),Date Added,Country,Applications,Text,Speech & audio,Code,Visual media
OpenAI,openai.com,"OpenAI is an artificial intelligence research and deployment company focused on ensuring that AI benefits all of humanity. The company's main offerings include developing AI technologies with a commitment to safety, alignment with human values, and broad societal benefits. OpenAI's products and services are designed to address global challenges and promote the equitable distribution of AI advantages. It was founded in 2015 and is based in San Francisco, California.",Generative AI infrastructure,Line of Credit,03/10/2024,24100.12,"Firestreak, Sound Ventures, Amazon Web Services, Elon Musk, Greg Brockman, Infosys, Jessica Livingston, Peter Thiel, Sam Altman, Y Combinator, Khosla Ventures, Reid Hoffman, Microsoft, Andreessen Horowitz, Bedrock Capital Management, Sequoia Capital, Tiger Global Management, Coatue, Coinbase, Founders Fund, K2 Global, Soul Ventures, Thrive Capital, Type One Ventures, Ark Ventures, Altimeter Capital, Boman Group, Fidelity Investments, MGX, NVIDIA, SoftBank, Chase Bank, Citibank, Goldman Sachs, HSBC, Morgan Stanley, Santander, Sumitomo Mitsui Banking, UBS, Wells Fargo",157000,4000,,,,947,04/10/2023,United States,Model developer,x,x,x,x
Databricks,databricks.com,"Databricks is a data and AI company that specializes in unifying data, analytics, and artificial intelligence across various industries. The company offers a platform that facilitates data management, governance, real-time analytics, and the building and deployment of machine learning and AI applications. Databricks serves sectors such as financial services, healthcare, public sector, retail, and manufacturing, among others. It was founded in 2013 and is based in San Francisco, California.",Generative AI infrastructure,Series I - II,10/11/2023,4001.91,"Aglae Ventures, Firestreak, Foundation Capital, Andreessen Horowitz, New Enterprise Associates, In-Q-Tel, Battery Ventures, Geodesic Capital, Coatue, Green Bay Ventures, Microsoft, Alkeon Capital Management, BlackRock, Dragoneer Investment Group, T. Rowe Price, Tiger Global Management, Amazon Web Services, BAM Elevate, CPP Investments, CapitalG, Fidelity Investments, Franklin Venture Partners, Greenoaks Capital Management, Salesforce Ventures, Whale Rock Capital Management, ClearBridge Investments, GIC, Greenoak Capital Management, Morgan Stanley, Octahedron Capital, Scottish Mortgage Investment Trust, UC Investments, WndrCo, AIkido Pharma, Karmel Capital, Capital One Ventures, NVentures, Ontario Teachers', AT&T Ventures, Bossa Invest, Qatar Investment Authority, Sanabil Investments, Nancy Pelosi",43000,,,,,924,25/01/2024,United States,Model developer,x, , , 
xAI,x.ai,"xAI focuses on artificial intelligence, specifically in the domain of language learning models. The company's main product, Grok, is designed to answer questions and suggest potential inquiries, functioning as a research assistant that helps users find information online. xAI primarily caters to the AI research community and the general public seeking AI tools for information retrieval and understanding. It was founded in 2023 and is based in Burlingame, California.",Generative AI infrastructure,Corporate Minority,26/06/2024,6137,"Bossa Invest, Alwaleed bin Talal, Andreessen Horowitz, Ark Ventures, Craft Ventures, Fidelity Investments, Flat Capital, Future Ventures, Gigafund, Kingdom Holding Company, Sequoia Capital, VY Capital, Valor Equity Partners, Healwell AI",24000,2,,,,904,20/02/2024,United States,Model developer,x,,,
Anthropic,anthropic.com,"Anthropic is an AI safety and research company that specializes in developing advanced AI systems. The company's main offerings include AI research and products that prioritize safety, with a focus on creating conversational AI assistants for enterprise use. Anthropic primarily serves sectors that require reliable and interpretable AI technology. It was founded in 2021 and is based in San Francisco, California.",Generative AI infrastructure,Corporate Minority - V,23/07/2024,7454,"FTX, Dustin Moskovitz, Eric Schmidt, Jaan Tallinn, James McClave, The Center for Emerging Risk, Alameda Research, Caroline Ellison, Nishad Singh, Sam Bankman-Fried, Google, Brighter Capital, Firestreak, GoldenArc Capital, LG Technology Ventures, Menlo Ventures, Pioneer Fund, Raison, SAP, SK Telecom Ventures, Salesforce Ventures, Sound Ventures, Spark Capital, XTX Ventures, Zoom Ventures, SK Telecom, Amazon, Andra Capital, Apex Ventures, Assured Asset Management, Beyond Capital, HOF Capital, Soul Ventures, SparkLabs Group, SquareOne, Forge Global, G Squared, Gemini Ventures, SCVC, Tioex, DAMAC Group",18400,50,Shareholder Liquidity,31/05/2024,FTX,949,04/10/2023,United States,AI Assistants & HMIs. Model developer.,x, , , 
Scale,scale.com,"Scale provides a data engine platform. The platform provides generative artificial intelligence (AI) strategy including fine-tuning, prompt engineering, security, model safety, model evaluation, and enterprise applications. It serves industries such as retail, electronic commerce, logistics, and more. Scale was formerly known as Scale Labs. It was founded in 2016 and is based in San Francisco, California.",Generative AI infrastructure,Series F,21/05/2024,1602.82,"NVIDIA Inception Program, Y Combinator, Accel, Drew Houston, Index Ventures, Justin Kan, Adam D’Angelo, Charlie Cheever, Coatue, Founders Fund, Greg Brockman, Guillermo Rauch, Ilya Sukhar, Jonathan Swanson, Kevin Systrom, Mike Krieger, Nat Friedman, Spark Capital, Thrive Capital, Tiger Global Management, Dragoneer Investment Group, Durable Capital Partners, Greenoaks Capital Management, Wellington Management, AMD Ventures, Amazon, Cisco Investments, DFJ Growth Fund, Elad Gil, Greenoaks, Intel Capital, Meta, NVIDIA, ServiceNow Ventures, WCM Global Wealth",13800,1000,,,,916,04/10/2023,United States,LLMOps, , , , 
Grammarly,grammarly.com,"Grammarly is a leading AI writing assistance company in the technology sector. The company offers a suite of tools that enhance writing quality by checking grammar, detecting plagiarism, and providing suggestions for rephrasing and style improvement. Grammarly primarily serves individuals and organizations across various sectors, including education, customer support, marketing, IT, sales, and human resources. It was founded in 2009 and is based in San Francisco, California.",Horizontal applications,Unattributed VC - III,18/11/2021,400,"Breyer Capital, General Catalyst, Institutional Venture Partners, SignalFire, Spark Capital, Sozo Ventures, BlackRock, Scottish Mortgage Investment Trust",13000,200,,,,840,04/10/2023,United States,Writing & storytelling. Sales & customer support. Consumer social apps & tools.,x, , , 
DataRobot,datarobot.com,"DataRobot specializes in artificial intelligence, offering an open, end-to-end AI lifecycle platform within the technology sector. The company provides solutions for scaling AI applications, monitoring and governing AI models, and driving business value through predictive and generative AI. DataRobot serves various industries, including healthcare, manufacturing, retail, and financial services, with its AI platform. It was founded in 2012 and is based in Boston, Massachusetts.",Generative AI infrastructure,Corporate Minority,12/05/2023,1089.37,"Citi Ventures, Norwest Venture Partners, SBI Investment, Techstars, Accomplice, IA Ventures, New Enterprise Associates, New York Life Ventures, CSC Upshot Ventures, Intel Capital, Recruit Strategic Partners, Plug and Play, Netezza, Plug and Play Indonesia, Cisco Investments, DFJ Growth Fund, Geodesic Capital, Meritech Capital Partners, Sapphire Ventures, AB Private Credit Investors, EDBI, Sands Capital, Tiger Global Management, WiL, Altimeter Capital, B Capital, BlackRock, ClearBridge Investments, Glynn Capital Management, NEA Partners, RTP Global, SBI Group, Silver Lake, T. Rowe Price, Hewlett Packard Enterprise, Salesforce Ventures, Snowflake Ventures, Plug and Play Insurtech, Franklin Venture Partners, Morgan Stanley, ServiceNow Ventures, Sutter Hill Ventures, G20 Ventures, CrossWork",6300,,,,,850,25/01/2024,United States,LLMOps, , , , 
Mistral AI,mistral.ai,"Mistral AI focuses on the development of open-source artificial intelligence models in the technology sector. The company's main offerings include efficient, adaptable AI models that allow for full customization by users without requiring their data. Its models are primarily used in the tech industry. It was founded in 2023 and is based in Paris, France.",Generative AI infrastructure,Series B,11/06/2024,1188.17,"Bpifrance, Cisco Investments, Eric Schmidt, Exor Ventures, Firstminute Capital, Headline, Index Ventures, JCDecaux, La Famiglia, Lightspeed Venture Partners, LocalGlobe, Motier Ventures, Redpoint eventures, Rodolphe Saade, Sofina, Xavier Niel, Andreessen Horowitz, General Catalyst, Microsoft, Databricks Ventures, Snowflake Ventures, Bertelsmann Investments, DST Global, Eurazeo, Hanwha Asset Management, IBM, Korelya Capital, Latitude, Millennium Technology Value Partners, NVentures, SV Angel, Salesforce Ventures, Samsung Ventures, Sanabil Investments, ServiceNow, BNP Paribas, Belfius Bank",6223.97,502.3,,,,906,04/10/2023,France,Foundational models & APIs,x, , , 
Cohere,cohere.com,"Cohere operates as a natural language processing (NLP) company. It offers services that enable businesses to integrate artificial intelligence (AI) into products, with capabilities such as generating text for product descriptions, blog posts, and articles, understanding the meaning of text for search and content moderation, and creating summaries of text and documents. It primarily serves the enterprise sector, providing AI solutions that can be customized to suit various use cases, domains, or industries. It was founded in 2019 and is based in Toronto, Canada.",Generative AI infrastructure,Series D - II,16/07/2024,971.25,"Radical Ventures, Fei-Fei Li, Geoffrey Hinton, Index Ventures, Pieter Abbeel, Raquel Urtasun, Section 32, Tiger Global Management, Salesforce Ventures, Advaita Capital, Alumni Ventures, Assured Asset Management, Cisco, DTCP, Deutsche Telekom, Firestreak, Inovia Capital, Mirae Asset Capital, Mirae Asset Wealth Management, Mistral Venture Partners, NVIDIA, Oracle, SAP, Schroders Capital, SentinelOne, Soul Ventures, Thomvest Ventures, Cisco Investments, Public Sector Pension Investment Board, AMD Ventures, Export Development Canada, Fujitsu",5500,50,,,,904,04/10/2023,Canada,Model developer. API access,x, , , 
Safe Superintelligence,ssi.inc,"Safe Superintelligence focuses on the development of safe superintelligence as its primary objective within the artificial intelligence industry. The company is dedicated to solving technical problems related to safety and capabilities through innovative engineering and scientific research, to advance these capabilities while prioritizing safety. Safe Superintelligence operates with a business model that emphasizes long-term progress over short-term commercial pressures. It was founded in 2024 and is based in San Francisco, California.",,Series A,04/09/2024,1000,"Andreessen Horowitz, DST Global, Nat Friedman and Daniel Gross, SV Angel, Sequoia Capital",5000,1000,,,,737,02/10/2024,United States,,,,,
